SR_NUMBER,USER_ID,SR_TYPE,SR_TYPE_DESC,PRIORITY,GROUP_ID,GROUP_TITLE,GROUP_DESC,DEPT_CODE,DEPT_NAME,DEPT_DIVISION,ADDRESS,LOCATION,NEIGHBORHOOD,ZIPCODE,NEAREST_PARCEL_NO,METHOD_RECEIVED,DATE_CREATED,TIME_RECEIVED,DATE_CLOSED,SR_STATUS,SR_STATUS_FLAG,DATE_STATUS_CHANGE,TIME_STATUS_CHANGE,DATE_LAST_UPDATE,TIME_LAST_UPDATE,PLANNED_HOURS_TOSTART_RESPONSE,PLANNED_RESPONSE_TIME,PLANNED_END_DATE,PLANNED_COMPLETION_DAYS,DATE_DISPATCHED,TIME_DISPATCHED,DATE_REVISED_COMPLETION,DATE_REVISED_COMPLETION_REASON,COLLECTION_SPECIAL_DATE,COLLECTION_DAY,COLLECTION_ROUTE,COLLECTION_DIST,TRANSFER_ALLOW,TRANSFERED_NUM_TIMES,PROPTY_CITY_OWNED_YN,PROPTY_CITY_DEPT_OWNER,STREET_NO,STREET_DIRECTION,STREET_NAME,CITY_ID,STRUCTURE_ID,FLOOR_ID,UNIT_ID,MUNITWNSHP,REQUEST_RETURN_CALL,NUM_BULKY_ITEMS,BULKY_ITEM_1,BULKY_ITEM_2,BULKY_ITEM_3,BULKY_ITEM_4,BULKY_ITEM_5,NUM_TIRES,NUM_FREONS,NUM_SOFABEDS,NUM_POTHOLES,POLICE_DISTRICT,POLICE_RPT_AREA,TRASH_RECYCLE_CART_ID,SEGIDUSNG_XREF,LATITUDE,LONGITUDE,DATE_TIME_RECEIVED,COMMUNITY_COUNCIL_NEIGHBORHOOD,HAM_PAVE_POLYGON_ID
SR25062787,CCSRWEB,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,2639 CLIFTON AV,"2639 CLIFTON AV, CINC -",CUF,45219,10100030021,INTERNET,2025 May 17 12:00:00 AM,1:52 PM,2025 May 19 12:00:00 AM,CLOSED,CLOSED,2025 May 19 12:00:00 AM,12:40 PM,2025 May 19 12:00:00 AM,12:40 PM,72,5/20/2025,2025 Nov 13 12:00:00 AM,180,,,,,,MONDAY,,,Y,0,,,"2,639",,CLIFTON AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,1,2,,,39.13103608,-84.52081327,5/17/2025,CUF - HEIGHTS,
SR25039850,MOBILE,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,2369 FERGUSON RD,"2369 FERGUSON RD, CINC - GJ0736133892",WESTWOOD,45238,24800010262,INTERNET,2025 Mar 27 12:00:00 AM,8:10 PM,2025 May 06 12:00:00 AM,CLOSED,CLOSED,2025 May 06 12:00:00 AM,2:30 PM,2025 May 06 12:00:00 AM,2:30 PM,72,3/30/2025,2025 Sep 23 12:00:00 AM,180,,,,,,THURSDAY,THU01,2,Y,0,,,"2,369",,FERGUSON RD,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ0736133892,39.12933308,-84.60069398,3/27/2025,WESTWOOD,S-HAM30626
SR25021657,MOBILE,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,2350 FERGUSON RD,"2350 FERGUSON RD, CINC - GJ0743933840",WESTWOOD,45238,24800020006,INTERNET,2025 Feb 13 12:00:00 AM,8:36 PM,2025 May 06 12:00:00 AM,CLOSED,CLOSED,2025 May 06 12:00:00 AM,2:28 PM,2025 May 06 12:00:00 AM,2:28 PM,72,2/16/2025,2025 Aug 12 12:00:00 AM,180,,,,,,,,,Y,0,,,"2,350",,FERGUSON RD,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ0743933840,39.1291613,-84.600777,2/13/2025,WESTWOOD,S-HAM30626
SR25059556,CCSRWEB,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,2919 BLUE HAVEN TER,"2919 BLUE HAVEN TER, CINC - GJ0756334547",WESTWOOD,45238,20800590321,INTERNET,2025 May 10 12:00:00 AM,12:27 PM,2025 May 12 12:00:00 AM,CLOSED,CLOSED,2025 May 12 12:00:00 AM,8:49 AM,2025 May 12 12:00:00 AM,8:49 AM,72,5/13/2025,2025 Nov 06 12:00:00 AM,180,,,,,,THURSDAY,THU05,2,Y,0,,,"2,919",,BLUE HAVEN TER,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ0756334547,39.13539251,-84.59852288,5/10/2025,WESTWOOD,
SR25057719,MOBILE,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,800 PLUM ST,"800 PLUM ST, CINC - GJ1456931255",WEST END,45202,7700010034,INTERNET,2025 May 06 12:00:00 AM,2:05 PM,2025 May 06 12:00:00 AM,CLOSED,CLOSED,2025 May 06 12:00:00 AM,2:09 PM,2025 May 06 12:00:00 AM,2:09 PM,72,5/9/2025,2025 Nov 02 12:00:00 AM,180,,,,,,MONDAY,,,Y,0,,,800,,PLUM ST,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,6,119,,GJ1456931255,39.10400215,-84.51870076,5/6/2025,WEST END,I-GJ14553124
SR24090260,CPROM,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,2628 HARRISON AV,2628 HARRISON AV - GJ0845335287,WESTWOOD,45211,20800550100,311 CALL,2024 Aug 30 12:00:00 AM,6:13 PM,2025 May 06 12:00:00 AM,CLOSED,CLOSED,2025 May 06 12:00:00 AM,4:02 PM,2025 May 06 12:00:00 AM,4:02 PM,72,9/2/2024,2025 Feb 26 12:00:00 AM,180,,,,,,THURSDAY,THU10,3,Y,0,,,"2,628",,HARRISON AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ0845335287,39.14183297,-84.58801847,8/30/2024,WESTWOOD,
SR24070259,CPROM,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,3464 CENTRAL PKWY,CLIFTON HILLS AV & CENTRAL PKWY - GJ1282335953,CAMP WASHINGTON,45225,21500690002,311 CALL,2024 Jul 11 12:00:00 AM,8:47 AM,2025 May 06 12:00:00 AM,CLOSED,CLOSED,2025 May 06 12:00:00 AM,4:20 PM,2025 May 06 12:00:00 AM,4:20 PM,72,7/14/2024,2025 Jan 07 12:00:00 AM,180,,,,,,,,,Y,0,Y,DOTE,"3,464",,CENTRAL PKWY,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,4,99,,GJ1282335953,39.14676997,-84.53728494,7/11/2024,CAMP WASHINGTON,I-GJ12823594
SR24098623,TMINTER,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,3142 MAYRIDGE CT,HANNA AV & MAYRIDGE CT - GJ0665335277,WESTWOOD,45211,21100670003,311 CALL,2024 Sep 25 12:00:00 AM,3:39 PM,2025 May 06 12:00:00 AM,CLOSED,CLOSED,2025 May 06 12:00:00 AM,3:54 PM,2025 May 06 12:00:00 AM,3:54 PM,48,9/27/2024,2024 Sep 28 12:00:00 AM,3,,,,,,,,,Y,0,Y,DOTE,"3,142",,MAYRIDGE CT,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ0665335277,39.14217846,-84.60883672,9/25/2024,WESTWOOD,I-GJ06643527
SR24085268,MOBILE,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,840 GREENWICH AV,"840 GREENWICH AV, CINC - GJ0774731791",WEST PRICE HILL,45238,01800A810114,INTERNET,2024 Aug 16 12:00:00 AM,8:08 PM,2025 May 06 12:00:00 AM,CLOSED,CLOSED,2025 May 06 12:00:00 AM,2:24 PM,2025 May 06 12:00:00 AM,2:24 PM,0,8/19/2024,2025 Feb 15 12:00:00 AM,183,,,,,,MONDAY,,,N,1,,,840,,GREENWICH AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ0774731791,39.11059096,-84.59739514,8/16/2024,WEST PRICE HILL,S-HAM02244
SR24085262,MOBILE,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,4453 W 8TH ST,"4453 W 8TH ST, CINC - GJ0772131577",WEST PRICE HILL,45238,01800A810069,INTERNET,2024 Aug 16 12:00:00 AM,7:31 PM,2025 May 06 12:00:00 AM,CLOSED,CLOSED,2025 May 06 12:00:00 AM,2:43 PM,2025 May 06 12:00:00 AM,2:43 PM,0,8/19/2024,2025 Feb 15 12:00:00 AM,183,,,,,,MONDAY,MON05,1,N,1,,,"4,453",W,8TH ST,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ0772131577,39.10898366,-84.5975834,8/16/2024,WEST PRICE HILL,I-GJ07713161
SR25039852,MOBILE,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,2384 FERGUSON RD,"2384 FERGUSON RD, CINC - GJ0741833936",WESTWOOD,45238,24800010266,INTERNET,2025 Mar 27 12:00:00 AM,8:14 PM,2025 May 06 12:00:00 AM,DUPLICAT,CLOSED,2025 May 06 12:00:00 AM,2:32 PM,2025 May 06 12:00:00 AM,2:32 PM,72,3/30/2025,2025 Sep 23 12:00:00 AM,180,,,,,,THURSDAY,THU01,2,Y,0,,,"2,384",,FERGUSON RD,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ0741833936,39.1299429,-84.60068751,3/27/2025,WESTWOOD,S-HAM30626
SR25034307,MOBILE,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,3274 SPRING GROVE AV,"3274 SPRING GROVE AV, CINC - GJ1248635611",CAMP WASHINGTON,45225,19000280013,INTERNET,2025 Mar 13 12:00:00 AM,12:18 PM,2025 May 06 12:00:00 AM,CLOSED,CLOSED,2025 May 06 12:00:00 AM,4:21 PM,2025 May 06 12:00:00 AM,4:21 PM,0,3/13/2025,2025 Sep 09 12:00:00 AM,180,,,,,,THURSDAY,,,Y,1,,,"3,274",,SPRING GROVE AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ1248635611,39.14349889,-84.54151047,3/13/2025,CAMP WASHINGTON,S-HAM25558
SR24114396,KCLAY,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,1144 CLIFTON HILLS AV,1144 CLIFTON HILLS AV - GJ1291535968,CLIFTON,45220,21500690095,311 CALL,2024 Nov 14 12:00:00 AM,11:21 AM,2025 May 06 12:00:00 AM,CLOSED,CLOSED,2025 May 06 12:00:00 AM,5:17 PM,2025 May 06 12:00:00 AM,5:17 PM,72,11/17/2024,2025 May 13 12:00:00 AM,180,,,,,,THURSDAY,THU20,3,Y,0,,,"1,144",,CLIFTON HILLS AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,4,99,,GJ1291535968,39.14688768,-84.53621263,11/14/2024,CLIFTON,S-HAM21856
SR24118189,KCLAY,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,6127 GRACELY DR,GRACELY DR & RIVER RD - GJ0034430835,RIVERSIDE,45233,16300030022,311 CALL,2024 Nov 26 12:00:00 AM,5:46 PM,2025 May 06 12:00:00 AM,CLOSED,CLOSED,2025 May 06 12:00:00 AM,2:20 PM,2025 May 06 12:00:00 AM,2:20 PM,72,11/29/2024,2025 May 25 12:00:00 AM,180,,,,,,,,,Y,0,Y,MSD,"6,127",,GRACELY DR,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ0034430835,39.1036527,-84.68308621,11/26/2024,SAYLER PARK,I-GJ00343083
SR25052651,DBROWN,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,3145 WEST TOWER AV,3145 WEST TOWER AV - GJ0682134229,WESTWOOD,45238,24800030072,311 CALL,2025 Apr 24 12:00:00 AM,5:47 PM,2025 May 06 12:00:00 AM,CLOSED,CLOSED,2025 May 06 12:00:00 AM,3:09 PM,2025 May 06 12:00:00 AM,3:09 PM,48,4/26/2025,2025 Apr 27 12:00:00 AM,3,,,,,,THURSDAY,THU01,2,Y,0,,,"3,145",,WEST TOWER AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ0682134229,39.13270282,-84.60720548,4/24/2025,WESTWOOD,
SR24082917,TMINTER,ADACONSN,"CONSTRUCTION, SIGNAGE",PRIORITY,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,812 TERRY ST,812 TERRY ST - GJ0995731419,EAST PRICE HILL,45205,17600200017,311 CALL,2024 Aug 11 12:00:00 AM,11:05 AM,2025 May 06 12:00:00 AM,CLOSED,CLOSED,2025 May 06 12:00:00 AM,2:37 PM,2025 May 06 12:00:00 AM,2:37 PM,72,8/14/2024,2025 Feb 07 12:00:00 AM,180,,,,,,MONDAY,MON15,3,Y,0,,,812,,TERRY ST,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ0995731419,39.10664577,-84.57182359,8/11/2024,EAST PRICE HILL,
SR25059014,MOBILE,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,2334 RIVERSIDE DR,"2334 RIVERSIDE DR, CINC - GJ1890133601",EAST END,45202,3200050117,INTERNET,2025 May 08 12:00:00 AM,5:55 PM,2025 May 09 12:00:00 AM,CLOSED,CLOSED,2025 May 09 12:00:00 AM,11:26 AM,2025 May 09 12:00:00 AM,11:26 AM,72,5/11/2025,2025 Nov 04 12:00:00 AM,180,,,,,,WEDNESDAY,WED03,3,Y,0,,,"2,334",,RIVERSIDE DR,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ1890133601,39.12392718,-84.46774006,5/8/2025,EAST END,S-HAM19372
SR24079785,MOBILE,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,4453 W 8TH ST,"4453 W 8TH ST, CINC - GJ0772131577",WEST PRICE HILL,45238,01800A810069,INTERNET,2024 Aug 02 12:00:00 AM,4:24 PM,2025 May 06 12:00:00 AM,CLOSED,CLOSED,2025 May 06 12:00:00 AM,2:42 PM,2025 May 06 12:00:00 AM,2:42 PM,0,8/5/2024,2025 Feb 01 12:00:00 AM,183,,,,,,MONDAY,MON05,1,N,1,,,"4,453",W,8TH ST,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ0772131577,39.10897185,-84.59762887,8/2/2024,WEST PRICE HILL,I-GJ07713161
